dev_id,datetime,battery,batteryDiff,humidity,humidityDiff,temperature,temperatureDiff
r712-313f,2023-10-05 06:00:00,3.2,0.0,84.45,-1.8599999999999997,20.07,-0.2100000000000008
r712-313f,2023-10-05 07:00:00,3.1,-0.1,84.96,0.5099999999999909,19.52,-0.5500000000000007
r712-313f,2023-10-05 08:00:00,3.1,0.0,83.33,-1.6299999999999957,19.2,-0.3200000000000003
r712-313f,2023-10-05 09:00:00,3.1,0.0,82.89,-0.4399999999999977,18.8,-0.3999999999999986
r712-313f,2023-10-05 10:00:00,3.1,0.0,76.36,-6.530000000000001,18.25,-0.5500000000000007
r712-313f,2023-10-05 11:00:00,3.1,0.0,70.63,-5.730000000000004,17.81,-0.4400000000000013
r712-313f,2023-10-05 12:00:00,3.1,0.0,69.06,-1.5699999999999932,17.38,-0.4299999999999997
r712-313f,2023-10-05 13:00:00,3.1,0.0,67.43,-1.6299999999999957,16.62,-0.759999999999998
r712-313f,2023-10-05 14:00:00,3.1,0.0,66.31,-1.1200000000000043,16.39,-0.2300000000000004
r712-313f,2023-10-05 15:00:00,3.1,0.0,64.09,-2.219999999999999,16.0,-0.3900000000000005
r712-313f,2023-10-05 16:00:00,3.1,0.0,60.3,-3.7900000000000063,15.1,-0.9000000000000004
r712-313f,2023-10-05 17:00:00,3.1,0.0,58.67,-1.6299999999999957,14.36,-0.7400000000000002
r712-313f,2023-10-05 18:00:00,3.1,0.0,60.51,1.8399999999999963,14.18,-0.1799999999999997
r712-313f,2023-10-05 19:00:00,3.1,0.0,62.08,1.5700000000000005,14.36,0.1799999999999997
r712-313f,2023-10-05 20:00:00,3.1,0.0,68.91,6.829999999999998,14.94,0.5800000000000001
r712-313f,2023-10-05 22:00:00,3.1,0.0,77.87,8.960000000000008,16.31,1.3699999999999992
r712-313f,2023-10-06 00:00:00,3.2,0.1,77.17,-0.7000000000000028,18.42,2.110000000000003
r712-313f,2023-10-06 01:00:00,3.2,0.0,72.47,-4.700000000000003,19.66,1.2399999999999984
r712-313f,2023-10-06 02:00:00,3.2,0.0,71.02,-1.4500000000000028,19.67,0.0100000000000015
r712-313f,2023-10-06 03:00:00,3.2,0.0,71.13,0.1099999999999994,19.57,-0.1000000000000014
r712-313f,2023-10-06 04:00:00,3.1,-0.1,72.36,1.230000000000004,19.53,-0.0399999999999991
r712-313f,2023-10-06 05:00:00,3.2,0.1,75.68,3.3200000000000074,18.73,-0.8000000000000007
r712-313f,2023-10-06 06:00:00,3.2,0.0,76.12,0.4399999999999977,18.36,-0.370000000000001
r712-313f,2023-10-06 08:00:00,3.1,-0.1,78.83,2.7099999999999937,17.24,-1.120000000000001
r712-313f,2023-10-06 09:00:00,3.1,0.0,79.5,0.6700000000000017,16.96,-0.2799999999999976
r712-313f,2023-10-06 10:00:00,3.1,0.0,80.21,0.7099999999999937,16.63,-0.3300000000000018
r712-313f,2023-10-06 11:00:00,3.1,0.0,81.02,0.8100000000000023,16.62,-0.009999999999998
r712-313f,2023-10-06 12:00:00,3.1,0.0,82.37,1.3500000000000083,16.52,-0.1000000000000014
r712-313f,2023-10-06 13:00:00,3.1,0.0,82.46,0.0899999999999892,16.45,-0.0700000000000002
r712-313f,2023-10-06 14:00:00,3.1,0.0,89.31,6.8500000000000085,15.46,-0.9899999999999984
r712-313f,2023-10-06 16:00:00,3.1,0.0,89.68,0.3700000000000045,14.42,-1.040000000000001
r712-313f,2023-10-06 17:00:00,3.1,0.0,87.91,-1.7700000000000102,14.0,-0.4199999999999999
r712-313f,2023-10-06 19:00:00,3.1,0.0,84.99,-2.9200000000000017,13.24,-0.7599999999999998
r712-313f,2023-10-06 20:00:00,3.1,0.0,84.03,-0.9599999999999936,13.54,0.2999999999999989
r712-313f,2023-10-06 21:00:00,3.1,0.0,84.03,0.0,14.13,0.5900000000000016
r712-313f,2023-10-06 22:00:00,3.1,0.0,85.79,1.7600000000000051,15.14,1.0099999999999998
r712-313f,2023-10-06 23:00:00,3.1,0.0,83.79,-2.0,16.27,1.129999999999999
r712-313f,2023-10-07 00:00:00,3.1,0.0,83.92,0.1299999999999954,16.3,0.0300000000000011
r712-313f,2023-10-07 01:00:00,3.1,0.0,84.66,0.7399999999999949,15.8,-0.5
r712-313f,2023-10-07 02:00:00,3.1,0.0,90.02,5.359999999999999,15.18,-0.620000000000001
r712-313f,2023-10-07 04:00:00,3.1,0.0,94.26,4.240000000000009,15.0,-0.1799999999999997
r712-313f,2023-10-07 05:00:00,3.1,0.0,95.12,0.8599999999999994,14.97,-0.0299999999999993
r712-313f,2023-10-07 06:00:00,3.1,0.0,95.04,-0.0799999999999983,14.89,-0.08
r712-313f,2023-10-07 07:00:00,3.1,0.0,94.49,-0.5500000000000114,14.56,-0.33
r712-313f,2023-10-07 08:00:00,3.1,0.0,94.81,0.3200000000000074,14.5,-0.0600000000000005
r712-313f,2023-10-07 09:00:00,3.1,0.0,94.68,-0.1299999999999954,14.34,-0.1600000000000001
r712-313f,2023-10-07 10:00:00,3.1,0.0,95.33,0.6499999999999915,14.35,0.0099999999999997
r712-313f,2023-10-07 11:00:00,3.1,0.0,94.74,-0.5900000000000034,14.21,-0.1399999999999988
r712-313f,2023-10-07 13:00:00,3.1,0.0,94.41,-0.3299999999999983,13.72,-0.4900000000000002
r712-313f,2023-10-07 14:00:00,3.1,0.0,94.32,-0.0900000000000034,13.62,-0.1000000000000014
r712-313f,2023-10-07 15:00:00,3.1,0.0,95.3,0.980000000000004,13.14,-0.4799999999999986
r712-313f,2023-10-07 18:00:00,3.1,0.0,96.75,1.4500000000000028,12.87,-0.2700000000000013
r712-313f,2023-10-08 09:00:00,3.1,0.0,97.39,0.6400000000000006,13.2,0.33
r712-313f,2023-10-09 00:00:00,3.1,0.0,92.01,-5.379999999999996,15.7,2.5
r712-313f,2023-10-09 02:00:00,3.1,0.0,82.3,-9.710000000000008,17.19,1.490000000000002
r712-313f,2023-10-09 03:00:00,3.1,0.0,78.41,-3.890000000000001,17.77,0.5799999999999983
r712-313f,2023-10-09 04:00:00,3.1,0.0,78.1,-0.3100000000000023,17.98,0.2100000000000008
r712-313f,2023-10-09 05:00:00,3.1,0.0,80.62,2.5200000000000102,17.53,-0.4499999999999993
r712-313f,2023-10-09 06:00:00,3.1,0.0,82.25,1.6299999999999957,17.1,-0.4299999999999997
r712-313f,2023-10-09 07:00:00,3.1,0.0,86.08,3.8299999999999983,16.2,-0.9000000000000021
r712-313f,2023-10-09 08:00:00,3.1,0.0,88.19,2.1099999999999994,15.49,-0.7099999999999991
r712-313f,2023-10-09 09:00:00,3.1,0.0,89.88,1.6899999999999975,14.82,-0.6699999999999999
r712-313f,2023-10-09 10:00:00,3.1,0.0,91.26,1.3800000000000097,14.66,-0.1600000000000001
r712-313f,2023-10-09 12:00:00,3.1,0.0,91.74,0.4799999999999897,14.44,-0.2200000000000006
r712-313f,2023-10-09 13:00:00,3.1,0.0,92.68,0.940000000000012,13.93,-0.5099999999999998
r712-313f,2023-10-09 15:00:00,3.1,0.0,94.14,1.4599999999999935,13.4,-0.5299999999999994
r712-313f,2023-10-09 16:00:00,3.1,0.0,94.32,0.1799999999999926,13.28,-0.120000000000001
r712-313f,2023-10-09 18:00:00,3.1,0.0,93.93,-0.3899999999999863,13.38,0.1000000000000014
r712-313f,2023-10-09 19:00:00,3.1,0.0,94.29,0.3599999999999994,13.42,0.0399999999999991
r712-313f,2023-10-09 20:00:00,3.1,0.0,94.51,0.2199999999999988,13.4,-0.0199999999999995
r712-313f,2023-10-09 21:00:00,3.1,0.0,94.32,-0.1900000000000119,14.2,0.7999999999999989
r712-313f,2023-10-09 22:00:00,3.1,0.0,93.01,-1.309999999999988,15.22,1.0200000000000014
r712-313f,2023-10-10 01:00:00,3.1,0.0,80.53,-12.480000000000004,18.86,3.639999999999999
r712-313f,2023-10-10 02:00:00,3.1,0.0,77.16,-3.3700000000000045,19.34,0.4800000000000004
r712-313f,2023-10-10 03:00:00,3.1,0.0,77.05,-0.1099999999999994,19.66,0.3200000000000003
r712-313f,2023-10-10 04:00:00,3.1,0.0,71.29,-5.759999999999991,20.26,0.6000000000000014
r712-313f,2023-10-10 05:00:00,3.1,0.0,73.22,1.9299999999999928,19.29,-0.9700000000000024
r712-313f,2023-10-10 06:00:00,3.1,0.0,75.35,2.1299999999999955,18.48,-0.8099999999999987
r712-313f,2023-10-10 07:00:00,3.1,0.0,76.88,1.5300000000000011,17.5,-0.9800000000000004
r712-313f,2023-10-10 08:00:00,3.1,0.0,80.7,3.820000000000008,16.48,-1.0199999999999996
r712-313f,2023-10-10 09:00:00,3.1,0.0,82.54,1.8400000000000036,15.93,-0.5500000000000007
r712-313f,2023-10-10 14:00:00,3.1,0.0,87.82,5.279999999999987,14.39,-1.5399999999999991
r712-313f,2023-10-10 18:00:00,3.1,0.0,91.13,3.3100000000000023,14.36,-0.0300000000000011
r712-313f,2023-10-10 19:00:00,3.1,0.0,91.39,0.2600000000000051,14.23,-0.129999999999999
r712-313f,2023-10-10 20:00:00,3.1,0.0,92.44,1.0499999999999972,14.62,0.3899999999999988
r712-313f,2023-10-10 21:00:00,3.1,0.0,92.15,-0.289999999999992,15.33,0.7100000000000009
r712-313f,2023-10-10 22:00:00,3.1,0.0,89.64,-2.510000000000005,16.51,1.1800000000000015
r712-313f,2023-10-10 23:00:00,3.1,0.0,84.1,-5.540000000000006,18.07,1.5599999999999987
r712-313f,2023-10-11 00:00:00,3.1,0.0,80.96,-3.140000000000001,18.8,0.7300000000000004
r712-313f,2023-10-11 01:00:00,3.1,0.0,75.49,-5.469999999999999,19.79,0.9899999999999984
r712-313f,2023-10-11 02:00:00,3.1,0.0,69.68,-5.809999999999988,20.66,0.870000000000001
r712-313f,2023-10-11 03:00:00,3.1,0.0,70.86,1.1799999999999926,20.08,-0.5800000000000018
r712-313f,2023-10-11 04:00:00,3.1,0.0,72.73,1.8700000000000043,20.34,0.2600000000000015
r712-313f,2023-10-11 05:00:00,3.1,0.0,73.23,0.5,20.17,-0.1699999999999981
r712-313f,2023-10-11 07:00:00,3.1,0.0,80.55,7.319999999999993,18.35,-1.8200000000000005
r712-313f,2023-10-11 08:00:00,3.1,0.0,83.03,2.480000000000004,17.39,-0.9600000000000009
r712-313f,2023-10-11 09:00:00,3.1,0.0,84.93,1.9000000000000057,16.81,-0.5800000000000018
r712-313f,2023-10-11 10:00:00,3.1,0.0,85.97,1.039999999999992,16.49,-0.3200000000000003
